,Gauss,,,
,VaR 0.90,ES 0.90,VaR 0.99,ES 0.99
no. of violations,87,47,21,12
LR\_\{kupiec 95\%\}\_3.84145882069,0.197962804,28.21570903,11.48030098,0.848518812
LR\_\{independent\}\_3.841458,-474.8368935,-343.1415176,-186.191793,-107.4456875
LR\_\{conditional coverage\}\_5.99146454711,-474.6389307,-314.9258086,-174.711492,-106.5971687
,HS Bootstrap,,,
,VaR 0.90,ES 0.90,VaR 0.99,ES 0.99
no. of violations,91,41,15,10
LR\_\{kupiec 95\%\}\_3.84145882069,0.0485255,37.61464391,3.231997393,0.08711299
LR\_\{independent\}\_3.841458,-507.7603933,-315.2498866,-135.9557211,-84.71694851
LR\_\{conditional coverage\}\_5.99146454711,-507.7118678,-277.6352426,-132.7237237,-84.62983552