"CallsforJune 15, 2018",Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
Contract Name,2018-01-19 11:56PM EST,60,31.2,30.45,32.35,0,-,20,0,124.73%
PG180615C00060000,2018-01-18 11:05AM EST,70,20.54,11.3,12,0,-,18,65,32.67%
PG180615C00070000,2018-02-09 9:28AM EST,72.5,9.65,9.05,9.75,0,-,15,15,29.29%
PG180615C00072500,2018-02-08 12:33PM EST,75,7.5,7,7.7,0,-,1,18,26.73%
PG180615C00075000,2018-01-30 3:14PM EST,77.5,10.25,7.7,8.1,0,-,4,93,37.05%
PG180615C00077500,2018-02-08 2:07PM EST,80,4.08,3.6,4.35,0,-,8,241,23.44%
PG180615C00080000,2018-02-08 3:59PM EST,82.5,2.45,2.33,2.9,0,-,137,802,21.34%
PG180615C00082500,2018-02-08 3:59PM EST,85,1.6,1.47,1.92,0,-,251,"1,321",20.46%
PG180615C00085000,2018-02-09 9:31AM EST,87.5,1,0.8,1.27,0.02,2.04%,1,"1,211",20.19%
PG180615C00087500,2018-02-08 3:59PM EST,90,0.57,0.45,0.89,0,-,107,"6,284",20.63%
PG180615C00090000,2018-02-08 2:27PM EST,92.5,0.38,0.11,0.59,0,-,79,"43,427",20.75%
PG180615C00092500,2018-02-08 3:51PM EST,95,0.2,0.06,0.43,0,-,28,"4,242",21.46%
PG180615C00095000,2018-02-08 3:23PM EST,97.5,0.14,0.02,0.31,0,-,13,"2,206",22.07%
PG180615C00097500,2018-02-07 10:43AM EST,100,0.15,0.04,0.23,0,-,1,"1,901",22.73%
PG180615C00100000,2018-02-07 2:06PM EST,105,0.04,0,0.13,0,-,20,"2,261",24.02%
PG180615C00105000,2018-01-31 10:07AM EST,110,0.02,0,0.07,0,-,50,134,24.90%
PG180615C00110000,2018-01-31 10:05AM EST,115,0.02,0,0.07,0,-,50,60,27.74%
PG180615C00115000,2018-01-05 11:46PM EST,120,0.02,0,0.06,0,-,2,2,29.88%
PG180615C00120000,,,,,,,,,,
"PutsforJune 15, 2018",Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
Contract Name,2018-02-06 12:07PM EST,45,0.03,0,0.15,0,-,5,"1,180",49.12%
PG180615P00045000,2017-12-28 2:10PM EST,47.5,0.02,0,0.11,0,-,200,216,42.87%
PG180615P00047500,2018-01-19 12:36PM EST,50,0.02,0,0.02,-0.13,-86.67%,20,76,31.25%
PG180615P00050000,2018-02-09 9:32AM EST,55,0.2,0.03,0.35,0.15,300.00%,50,128,39.55%
PG180615P00055000,2018-02-05 1:23PM EST,60,0.1,0,0.65,0,-,5,637,36.91%
PG180615P00060000,2018-02-08 12:21PM EST,65,0.36,0.16,0.61,0,-,4,239,28.25%
PG180615P00065000,2018-02-08 3:59PM EST,70,0.85,0.52,0.96,0,-,157,"1,096",23.80%
PG180615P00070000,2018-02-09 9:29AM EST,72.5,1.12,0.84,1.39,0,-,40,465,22.82%
PG180615P00072500,2018-02-08 3:38PM EST,75,1.53,1.29,1.88,0,-,126,"1,820",21.23%
PG180615P00075000,2018-02-08 3:57PM EST,77.5,2.4,1.98,2.55,0,-,90,"2,232",19.70%
PG180615P00077500,2018-02-08 3:09PM EST,80,3.1,2.85,3.4,0,-,49,"4,933",17.95%
PG180615P00080000,2018-02-08 1:10PM EST,82.5,4.32,4,4.65,0,-,73,"2,161",16.81%
PG180615P00082500,2018-02-07 11:17AM EST,85,4.18,5.65,6.35,0,-,27,"3,455",16.52%
PG180615P00085000,2018-02-08 12:03PM EST,87.5,7.48,7.55,8.25,0,-,13,"1,728",15.77%
PG180615P00087500,2018-02-07 12:37PM EST,90,8.03,9.7,10.3,0,-,29,"2,241",13.87%
PG180615P00090000,2018-02-06 9:30AM EST,92.5,12.39,11.95,12.55,0,-,53,"1,255",0.00%
PG180615P00092500,2018-01-18 10:58AM EST,95,6.38,5.5,5.7,0,-,20,72,0.00%
PG180615P00095000,2018-01-23 1:46PM EST,97.5,9.1,10.05,10.55,0,-,20,30,0.00%
PG180615P00097500,2018-01-29 2:24PM EST,100,13.1,15.7,17.3,0,-,3,113,0.00%
PG180615P00100000,2018-01-19 3:07PM EST,105,14.43,12.95,15.55,0.83,6.10%,1,2,0.00%
PG180615P00105000,,,,,,,,,,